;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
58;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;522.7897484302521;0.0249183177947998;24.08219564856436;48.42098501190497
59;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2022-01-01 23:00:00;2022-01-01 00:00:00 - 2022-02-01 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;1182.8448979854584;0.0310208797454834;28.09269946285296;57.22753694652777
60;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;24;zscore;6.677874803543091;0.3254923820495605;14.056240234812003;18.49054563118159
61;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;48;zscore;7.352542161941528;0.3726358413696289;14.462605568652693;18.73525742161221
62;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;72;zscore;9.104194402694702;0.3596265316009521;14.806057483501478;18.640087780159188
63;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;m5p;(10 25);24;168;zscore;13.878169536590576;0.4172024726867676;16.08161190467206;18.75882743327088
64;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;24;zscore;10.682838678359984;0.0543663501739501;15.203462586888678;18.48898538194458
65;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;48;zscore;21.535152196884155;0.0546891689300537;16.165506135122286;19.84123082297317
66;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;72;zscore;32.76626992225647;0.0544605255126953;16.701461531954287;20.066318950606
67;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-05-01 00:00:00 - 2022-05-01 00:00:00;2022-05-01 00:00:00 - 2022-06-01 00:00:00;rf;(300 10 4 1);24;168;zscore;79.3425362110138;0.0447573661804199;18.131914760007795;19.8890363042186
